,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,53,PF,1562992289,75,-9.8,-139.03,80.69,14.61
1,Punta Arenas,90,CL,1562992293,100,-53.16,-70.91,39.2,10.29
2,Solnechnyy,100,RU,1562992326,86,50.72,136.64,65.93,3.38
3,Constitucion,91,MX,1562992422,87,23.99,-104.67,62.01,6.42
4,Ayan,0,IR,1562992424,27,38.23,44.7,78.8,4.7
5,Vaini,75,IN,1562992279,83,15.34,74.49,77.0,9.17
6,Mansoa,75,GW,1562992426,94,12.07,-15.32,69.8,4.7
7,Ponta do Sol,0,BR,1562992427,62,-20.63,-46.0,55.67,1.5
8,Mazarron,0,ES,1562992429,57,37.6,-1.31,80.01,2.24
9,Tiksi,42,RU,1562992430,55,71.64,128.87,49.19,5.77
10,Port Alfred,1,ZA,1562992278,91,-33.59,26.89,55.0,1.99
11,Bathsheba,40,BB,1562992325,78,13.22,-59.52,80.6,14.99
12,Rikitea,56,PF,1562992303,81,-23.12,-134.97,74.03,11.43
13,Santa Cruz,3,BR,1562992406,86,-6.22,-36.02,67.19,9.91
14,Mataura,99,NZ,1562992387,88,-46.19,168.86,51.01,1.01
15,Hobart,75,AU,1562992298,57,-42.88,147.33,48.2,14.99
16,Port Elizabeth,1,US,1562992280,94,39.31,-74.98,77.0,3.24
17,Ambon,0,FR,1562992439,93,47.55,-2.56,60.01,13.87
18,Kutoarjo,1,ID,1562992440,51,-7.72,109.9,84.11,11.03
19,Yenagoa,87,NG,1562992441,94,4.92,6.26,72.95,1.05
20,Tuktoyaktuk,40,CA,1562992443,66,69.44,-133.03,50.0,5.82
21,Aklavik,20,CA,1562992444,54,68.22,-135.01,55.4,5.82
22,Khatanga,94,RU,1562992445,62,71.98,102.47,55.85,9.1
23,Ushuaia,75,AR,1562992271,80,-54.81,-68.31,39.2,6.93
24,Sao Filipe,0,CV,1562992448,85,14.9,-24.5,72.05,14.5
25,Bohl-Iggelheim,75,DE,1562992449,87,49.38,8.3,60.01,3.36
26,Thompson,40,CA,1562992152,59,55.74,-97.86,64.4,5.82
27,East London,0,ZA,1562992095,87,-33.02,27.91,57.2,10.29
28,Sabancuy,100,MX,1562992452,70,18.97,-91.18,83.03,18.92
29,Sola,99,TZ,1562992454,66,-3.17,33.8,68.27,3.29
30,Zhigansk,100,RU,1562992455,48,66.77,123.37,68.63,19.39
31,Saint George,20,GR,1562992316,93,39.45,22.34,64.4,1.25
32,Ballina,97,IE,1562992457,83,54.11,-9.15,57.0,1.99
33,Kapaa,1,US,1562992290,69,22.08,-159.32,84.2,17.22
34,Ribeira Grande,21,PT,1562992460,87,38.52,-28.7,71.69,14.07
35,Vardo,40,US,1562992461,88,39.62,-77.74,71.6,2.66
36,Turukhansk,85,RU,1562992462,45,65.8,87.96,72.77,13.67
37,Fatehabad,75,IN,1562992463,75,27.03,78.3,89.6,13.87
38,Burnie,11,AU,1562992465,67,-41.05,145.91,43.97,11.61
39,Mahebourg,40,MU,1562992284,82,-20.41,57.7,70.0,3.36
40,Saldanha,71,PT,1562992467,58,41.42,-6.55,71.69,3.98
41,Barrow,0,AR,1562992309,75,-38.31,-60.23,41.27,4.9
42,Geraldton,40,CA,1562992191,82,49.72,-86.95,62.6,4.7
43,Beringovskiy,47,RU,1562992308,51,63.05,179.32,70.97,0.98
44,Ketchikan,1,US,1562992471,82,55.34,-131.65,62.6,4.7
45,Dikson,81,RU,1562992473,95,73.51,80.55,32.09,11.61
46,Aripuana,72,BR,1562992474,65,-9.17,-60.63,73.85,0.51
47,Butaritari,28,KI,1562992274,80,3.07,172.79,83.93,15.39
48,Acapulco,90,MX,1562992476,74,16.86,-99.88,84.2,2.24
49,Saquena,21,PE,1562992477,90,-4.67,-73.52,71.33,0.45
50,Ilulissat,8,GL,1562992479,87,69.22,-51.1,42.8,6.93
51,Debre Tabor,100,ET,1562992480,85,11.86,38.01,61.61,3.94
52,Coahuayana,99,MX,1562992481,95,18.62,-100.35,71.51,2.19
53,Hermanus,0,ZA,1562992297,97,-34.42,19.24,50.0,1.01
54,Axim,59,GH,1562992484,90,4.87,-2.24,74.21,9.82
55,Souillac,20,FR,1562992364,93,45.6,-0.6,64.0,1.12
56,Wattegama,39,LK,1562992486,53,7.35,80.68,88.43,6.87
57,Bredasdorp,1,ZA,1562992302,97,-34.53,20.04,48.0,1.01
58,Saskylakh,98,RU,1562992383,48,71.97,114.09,61.25,6.71
59,Bauchi,72,NG,1562992490,89,10.31,9.85,70.07,3.27
60,Shimoda,75,JP,1562992491,88,34.7,138.93,80.01,5.82
61,Manokwari,65,ID,1562992256,75,-0.87,134.08,78.17,5.19
62,Paka,98,CF,1562992493,98,4.15,15.03,67.55,2.01
63,Longkou,0,CN,1562992494,54,37.64,120.47,81.59,4.68
64,Ambilobe,0,MG,1562992496,44,-13.19,49.05,78.53,9.78
65,Severo-Kurilsk,91,RU,1562992327,95,50.68,156.12,44.87,7.47
66,Kaitangata,100,NZ,1562992498,68,-46.28,169.85,51.01,4.0
67,Chara,20,GR,1562992357,93,39.42,22.43,64.4,1.25
68,Puerto Ayora,56,EC,1562992314,93,-0.74,-90.35,68.0,8.81
69,Kodiak,1,US,1562992328,53,39.95,-94.76,73.99,5.82
70,Petropavlovsk-Kamchatskiy,90,RU,1562992503,93,53.05,158.65,51.8,11.18
71,Jamestown,15,AU,1562992197,64,-33.21,138.6,51.2,14.36
72,Mount Gambier,75,AU,1562992505,76,-37.83,140.78,48.2,21.92
73,Sisimiut,100,GL,1562992506,88,66.94,-53.67,40.55,8.72
74,Hasaki,75,JP,1562992508,74,35.73,140.83,80.6,6.93
75,Kavieng,100,PG,1562992509,74,-2.57,150.8,81.95,5.88
76,Paita,0,PE,1562992510,91,-5.09,-81.11,64.13,8.5
77,Esperance,90,AU,1562992511,67,-33.86,121.89,57.2,0.96
78,Binga,0,ZW,1562992513,39,-17.62,27.34,56.57,0.36
79,Ganzhou,100,CN,1562992514,74,25.86,114.93,83.21,6.33
80,Kattivakkam,75,IN,1562992515,74,13.22,80.32,86.0,9.17
81,Saint-Philippe,1,CA,1562992516,77,45.36,-73.48,69.01,4.7
82,Bay Roberts,40,CA,1562992518,87,47.58,-53.28,51.01,16.11
83,Chicama,90,PE,1562992519,93,-7.84,-79.15,62.6,9.17
84,Shelburne,1,CA,1562992520,93,44.08,-80.2,64.4,2.24
85,Ormara,68,PK,1562992521,56,25.21,64.64,89.33,11.61
86,Bethel,90,US,1562992315,93,60.79,-161.76,64.4,6.93
87,Cherskiy,12,RU,1562992524,41,68.75,161.3,74.75,4.29
88,Puri,5,ID,1562992525,42,-7.54,112.45,86.63,14.07
89,Flinders,0,AU,1562992276,37,-34.58,150.85,57.99,28.86
90,Clyde River,90,CA,1562992362,86,70.47,-68.59,41.0,4.7
91,Leningradskiy,96,RU,1562992529,78,69.38,178.42,47.21,7.56
92,Lebu,90,ET,1562992530,87,8.96,38.73,57.2,4.7
93,Torbay,40,CA,1562992531,87,47.66,-52.73,51.01,16.11
94,Vao,89,EE,1562992391,61,59.1,26.19,59.81,5.82
95,Kawalu,41,ID,1562992533,58,-7.38,108.21,78.71,7.43
96,Mount Isa,35,AU,1562992535,24,-20.73,139.49,71.6,19.46
97,Sorland,3,NO,1562992536,83,67.67,12.69,50.09,24.07
98,Bereda,0,ES,1562992537,82,43.27,-7.54,66.99,2.24
99,Ericeira,75,PT,1562992263,93,38.96,-9.42,66.2,12.75
100,Dalby,19,AU,1562992539,28,-27.18,151.26,69.01,26.4
101,Albany,90,US,1562992213,77,42.65,-73.75,72.0,3.36
102,Anadyr,0,RU,1562992273,41,64.73,177.51,77.0,4.47
103,Cabo San Lucas,5,MX,1562992431,42,22.89,-109.91,84.2,14.99
104,Busselton,24,AU,1562992322,46,-33.64,115.35,62.01,9.13
105,Lagoa,75,PT,1562992545,94,37.14,-8.45,68.0,5.82
106,Faanui,0,PF,1562992546,68,-16.48,-151.75,77.99,4.07
107,Ancud,90,CL,1562992548,100,-41.87,-73.83,46.4,14.99
108,Norman Wells,20,CA,1562992549,51,65.28,-126.83,62.6,4.7
109,Castro,90,CL,1562992343,100,-42.48,-73.76,46.4,14.99
110,New Norfolk,75,AU,1562992363,57,-42.78,147.06,48.2,14.99
111,Qaanaaq,97,GL,1562992377,56,77.48,-69.36,43.79,7.63
112,Coquimbo,0,CL,1562992554,87,-29.95,-71.34,48.99,3.36
113,Tasiilaq,14,GL,1562992555,87,65.61,-37.64,42.8,5.82
114,Sabha,0,LY,1562992556,11,27.03,14.43,91.85,5.46
115,Gornoye Loo,75,RU,1562992557,77,43.72,39.61,68.0,6.71
116,Avarua,59,CK,1562992559,78,-21.21,-159.78,71.6,6.93
117,Victoria,75,BN,1562992293,74,5.28,115.24,89.6,5.82
118,Georgetown,75,GY,1562992358,94,6.8,-58.16,75.2,2.24
119,Honningsvag,99,NO,1562992562,81,70.98,25.97,45.05,12.33
120,Rome,0,IT,1562992427,82,41.89,12.48,73.4,3.36
121,Fengzhen,36,CN,1562992565,33,40.43,113.15,79.43,4.03
122,Hithadhoo,0,MV,1562992414,75,-0.6,73.08,84.65,12.86
123,Goderich,28,CA,1562992567,90,43.74,-81.71,62.01,15.93
124,Hilo,1,US,1562992369,61,19.71,-155.08,80.6,8.05
125,Jalu,0,LY,1562992570,46,29.03,21.55,79.61,10.02
126,Chihuahua,40,MX,1562992547,30,28.66,-106.08,82.0,6.93
127,Port Hawkesbury,90,CA,1562992572,100,45.62,-61.36,60.01,11.41
128,Bluff,48,AU,1562992291,36,-23.58,149.07,72.77,9.48
129,Alice Springs,0,AU,1562992505,36,-23.7,133.88,62.6,13.87
130,Oeiras do Para,2,BR,1562992576,98,-2.0,-49.85,71.69,2.19
131,Cape Town,0,ZA,1562991987,100,-33.93,18.42,50.0,3.36
132,Palmer,20,AU,1562992578,58,-34.85,139.16,57.0,17.22
133,Anshun,100,CN,1562992579,94,26.25,105.93,62.33,2.89
134,Tessalit,0,ML,1562992581,20,20.2,1.01,87.53,10.58
135,Yellowknife,40,CA,1562992530,54,62.45,-114.38,55.4,5.82
136,Dudinka,75,RU,1562992583,72,69.41,86.18,59.0,20.13
137,Baherden,46,TM,1562992584,32,38.44,57.43,90.41,3.0
138,Paamiut,100,GL,1562992585,92,61.99,-49.67,41.63,11.5
139,Nola,85,CF,1562992587,96,3.52,16.05,68.81,0.58
140,Dharchula,87,IN,1562992588,84,29.85,80.53,62.51,4.94
141,Presidencia Roque Saenz Pena,100,AR,1562992589,85,-26.79,-60.44,64.13,6.2
142,Port Macquarie,40,AU,1562992590,29,-31.43,152.91,70.0,20.8
143,Pacific Grove,90,US,1562992592,77,36.62,-121.92,68.0,9.17
144,Port Hardy,100,CA,1562992593,89,50.7,-127.42,58.37,5.91
145,Daru,45,PG,1562992347,73,-9.07,143.21,77.45,9.82
146,Kieta,44,PG,1562992595,78,-6.22,155.63,82.85,11.05
147,Pombal,6,BR,1562992596,74,-6.77,-37.8,67.73,7.07
148,Broome,66,GB,1562992598,93,52.47,1.45,61.0,5.82
149,Rocha,98,UY,1562992599,92,-34.48,-54.34,51.35,7.43
150,Tulghes,59,RO,1562992600,25,46.95,25.77,66.99,2.42
151,Inhambane,38,MZ,1562992601,78,-23.87,35.38,69.35,5.88
152,Chokurdakh,73,RU,1562992602,48,70.62,147.9,58.91,10.98
153,Lisakovsk,0,KZ,1562992604,29,52.55,62.49,90.77,17.63
154,Upernavik,42,GL,1562992605,86,72.79,-56.15,44.51,14.09
155,Pevek,100,RU,1562992606,99,69.7,170.27,39.83,5.82
156,Shache,11,CN,1562992607,9,38.42,77.24,96.35,6.71
157,Saint Anthony,1,US,1562992609,36,43.97,-111.68,75.2,8.05
158,Skovorodino,78,RU,1562992610,31,53.99,123.94,86.27,2.84
159,Mahon,75,IE,1562992611,87,51.89,-8.4,57.99,8.05
160,Nikolskoye,0,RU,1562992336,76,59.7,30.79,55.4,4.47
161,Kasongo-Lunda,27,CD,1562992614,81,-6.48,16.82,63.77,2.04
162,Vila,0,IT,1562992615,82,45.18,8.4,71.01,4.7
163,Douglas,90,US,1562992616,100,58.28,-134.39,60.01,1.99
164,Chuy,85,UY,1562992617,91,-33.69,-53.46,54.05,13.09
165,Irtyshskiy,65,RU,1562992619,51,58.33,68.13,85.19,9.78
166,Kruisfontein,6,ZA,1562992375,91,-34.0,24.73,50.81,4.83
167,Nantucket,90,US,1562992621,94,41.28,-70.1,73.0,6.93
168,Salinopolis,34,BR,1562992622,77,-0.61,-47.36,80.69,12.68
169,Venado Tuerto,0,AR,1562992623,95,-33.75,-61.97,36.0,1.99
170,Fort Frances,1,CA,1562992625,93,48.61,-93.4,60.01,3.87
171,Iqaluit,20,CA,1562992626,76,63.75,-68.52,50.0,8.05
172,Carnarvon,0,ZA,1562992627,30,-30.97,22.13,49.91,8.14
173,Praia,0,BR,1562992628,93,-20.25,-43.81,53.6,0.98
174,Douentza,64,ML,1562992630,51,15.01,-2.95,81.59,7.38
175,Salalah,90,OM,1562992390,100,17.01,54.1,78.8,8.05
176,Gobo,75,JP,1562992632,83,33.89,135.15,81.0,8.05
177,San Patricio,71,PY,1562992633,76,-26.98,-56.83,65.93,2.35
178,Champerico,90,MX,1562992634,94,16.38,-93.6,71.6,3.76
179,Touros,40,BR,1562992363,100,-5.2,-35.46,73.4,4.7
180,Wajima,75,JP,1562992637,78,37.4,136.9,71.6,6.93
181,Loanda,0,BR,1562992638,71,-22.93,-53.14,61.43,4.32
182,Evensk,0,RU,1562992639,56,61.92,159.24,67.73,8.34
183,Ola,1,RU,1562992640,67,59.58,151.3,61.43,7.63
184,Buchanan,75,LR,1562992642,100,5.88,-10.05,75.2,12.41
185,Muros,0,ES,1562992351,88,42.77,-9.06,73.0,2.24
186,Zyryanskoye,7,RU,1562992644,31,56.83,86.62,81.05,5.73
187,Port Said,9,EG,1562992645,17,25.34,30.55,96.17,9.66
188,Palembang,23,ID,1562992338,54,-2.99,104.76,90.05,5.03
189,Dutlwe,0,BW,1562992648,27,-23.98,23.93,51.89,9.35
190,Bandarbeyla,97,SO,1562992649,38,9.49,50.81,88.25,32.5
191,Basco,1,US,1562992650,83,40.33,-91.2,73.4,3.67
192,Maroantsetra,68,MG,1562992651,91,-15.43,49.74,66.11,3.06
193,Khani,90,GE,1562992652,100,41.96,42.96,62.6,10.29
194,Valparaiso,1,US,1562992610,42,41.47,-87.06,78.8,5.37
195,Isangel,40,VU,1562992655,61,-19.55,169.27,80.6,9.17
196,Banepa,90,NP,1562992414,100,27.63,85.52,68.0,8.05
197,Mar del Plata,99,AR,1562992657,57,-46.43,-67.52,41.99,6.67
198,Morant Bay,20,JM,1562992424,58,17.88,-76.41,84.2,18.34
199,Alofi,58,NU,1562992660,94,-19.06,-169.92,71.6,9.17
200,Nyurba,84,RU,1562992661,59,63.29,118.35,76.37,6.55
201,Warrnambool,49,AU,1562992662,57,-38.38,142.48,53.01,13.0
202,Lavrentiya,100,RU,1562992344,42,65.58,-170.99,69.71,5.61
203,Gamba,97,CN,1562992665,41,28.28,88.52,56.03,12.39
204,Kloulklubed,90,PW,1562992666,83,7.04,134.26,80.6,21.92
205,Bourail,100,NC,1562992667,68,-21.57,165.5,68.45,0.69
206,Arraial do Cabo,0,BR,1562992335,77,-22.97,-42.02,65.75,5.7
207,Ixtapa,90,MX,1562992669,100,20.71,-105.21,79.0,3.36
208,Port Augusta,75,AU,1562992386,62,-32.49,137.76,55.4,17.22
209,Yulara,0,AU,1562992672,36,-25.24,130.99,62.6,12.75
210,Vostok,85,RU,1562992281,48,46.45,135.83,77.99,3.22
211,Mezen,40,RU,1562992674,54,65.85,44.24,60.53,2.75
212,Idlib,40,SY,1562992675,69,35.93,36.64,79.0,12.75
213,Northam,29,AU,1562992677,55,-31.65,116.67,62.6,11.41
214,Honiara,75,SB,1562992678,63,-9.43,159.96,91.4,8.05
215,Casa Nova,0,BR,1562992679,64,-16.03,-44.16,59.09,4.25
216,Hailar,58,CN,1562992680,32,49.2,119.7,85.01,7.92
217,Skjervoy,35,NO,1562992682,83,70.03,20.97,49.01,3.27
218,Korba,95,IN,1562992683,51,22.35,82.71,92.39,7.45
219,Hamilton,20,CA,1562992422,100,43.26,-79.87,68.0,3.36
220,Nome,1,US,1562992685,83,30.04,-94.42,86.0,5.82
221,Ibipeba,0,BR,1562992394,86,-11.64,-42.01,56.39,6.24
222,Mehamn,100,NO,1562992687,70,71.03,27.85,45.59,9.98
223,Coihaique,90,CL,1562992555,93,-45.58,-72.07,35.6,2.24
224,Kavaratti,49,IN,1562992690,76,10.57,72.64,83.21,11.5
225,Winnemucca,1,US,1562992691,24,40.97,-117.74,78.8,9.17
226,Samarai,100,PG,1562992692,96,-10.62,150.67,72.95,3.91
227,Nkawkaw,99,GH,1562992693,99,6.55,-0.77,68.99,1.83
228,Sherlovaya Gora,22,RU,1562992695,24,50.53,116.31,87.35,10.65
229,Manzhouli,21,CN,1562992696,29,49.6,117.43,83.21,5.99
230,Cidreira,87,BR,1562992333,94,-30.17,-50.22,62.69,6.49
231,Ouegoa,74,NC,1562992698,73,-20.34,164.44,71.87,8.52
232,Hammerfest,0,NO,1562992700,61,70.66,23.68,50.0,13.87
233,Hohhot,40,CN,1562992701,39,40.81,111.65,84.2,4.47
234,Joao Pinheiro,0,BR,1562992702,56,-17.74,-46.17,59.63,4.34
235,Ailigandi,98,PA,1562992704,79,9.23,-78.02,81.05,5.99
236,Port Hedland,0,AU,1562992705,9,-20.31,118.58,84.2,21.92
237,Caravelas,0,BR,1562992557,83,-17.73,-39.27,67.55,4.21
238,Floro,19,NO,1562992707,87,61.6,5.03,55.4,6.93
239,Marawi,100,PH,1562992708,75,8.0,124.29,82.99,5.01
240,Altamont,1,CA,1562992710,100,49.4,-98.5,64.4,2.1
241,Den Helder,90,NL,1562992711,87,52.96,4.76,62.6,5.82
242,Pasni,56,PK,1562992712,45,25.26,63.48,94.19,10.11
243,Codajas,24,BR,1562992713,97,-3.84,-62.06,70.79,0.94
244,Darhan,39,MN,1562992715,52,49.49,105.92,77.63,8.97
245,Nkowakowa,0,ZA,1562992716,29,-23.89,30.29,48.2,5.82
246,Nenjiang,99,CN,1562992717,68,49.17,125.23,76.73,1.95
247,Dalbandin,0,PK,1562992718,23,28.9,64.41,98.51,12.08
248,Beidao,1,CN,1562992720,31,34.57,105.89,80.51,5.61
249,Coos Bay,90,US,1562992373,88,43.37,-124.22,63.0,10.29
250,Pringsewu,77,ID,1562992602,60,-5.36,104.98,83.39,5.59
251,Khandagayty,98,MN,1562992723,83,50.73,92.07,56.21,3.06
252,Pontianak,12,ID,1562992725,78,-0.02,109.34,82.49,15.79
253,Talcahuano,90,CL,1562992726,100,-36.72,-73.12,51.8,13.87
254,Sedam,83,IN,1562992727,55,17.18,77.28,87.89,14.94
255,Fallon,1,US,1562992728,82,46.84,-105.12,68.0,2.84
256,Meulaboh,43,ID,1562992730,69,4.14,96.13,83.75,2.98
257,Jiangkou,99,CN,1562992731,80,30.7,117.56,77.99,7.31
258,Kargil,59,PK,1562992732,29,34.56,76.13,61.07,1.99
259,Mackenzie,90,CA,1562992524,67,55.34,-123.09,62.6,5.82
260,Viedma,0,AR,1562992734,60,-40.81,-62.99,43.25,7.54
261,Kijang,90,KR,1562992736,73,35.24,129.21,75.2,9.17
262,Port Blair,40,IN,1562992737,70,11.67,92.75,86.0,9.17
263,Povenets,89,RU,1562992738,92,62.85,34.83,47.93,5.46
264,Opuwo,3,NA,1562992513,27,-18.06,13.84,52.79,5.26
265,Mbanza-Ngungu,24,CD,1562992741,94,-5.25,14.87,64.67,3.53
266,Ostrovnoy,51,RU,1562992742,63,68.05,39.51,49.55,6.76
267,Necochea,13,AR,1562992447,88,-38.55,-58.74,50.0,4.0
268,Luderitz,0,NA,1562992445,87,-26.65,15.16,50.0,3.36
269,Sao Felix do Xingu,0,BR,1562992473,81,-6.64,-51.99,68.09,1.79
270,General Roca,0,AR,1562992746,70,-39.03,-67.58,42.8,4.7
271,Altus,1,US,1562992748,61,34.64,-99.33,80.6,6.93
272,Kaspiyskiy,100,RU,1562992703,50,45.39,47.37,71.15,10.71
273,Mookane,0,BW,1562992750,28,-23.68,26.66,52.07,2.64
274,Quatre Cocos,40,MU,1562992751,82,-20.21,57.76,71.01,3.36
275,Damghan,16,IR,1562992753,37,36.17,54.34,78.71,0.56
276,Nuuk,75,GL,1562992754,87,64.17,-51.74,44.6,12.75
277,Barranca,100,PE,1562992755,86,-10.75,-77.76,61.97,14.29
278,Miraflores,0,PE,1562992756,27,-16.39,-71.52,50.0,4.7
279,Fortuna,20,ES,1562992757,47,38.18,-1.13,82.0,9.17
